"Start Date","End Date","Area","Pollster","Client","Party","Voting Intention"
"2026-01-07","2026-01-09","Great Britain","Opinium","Observer","Plaid Cymru","1"
"2026-01-07","2026-01-08","Great Britain","FindOutNow","NA","Reform UK","32"
"2026-01-07","2026-01-08","Great Britain","FindOutNow","NA","Conservative","18"
"2026-01-07","2026-01-08","Great Britain","FindOutNow","NA","Green Party","17"
"2026-01-07","2026-01-08","Great Britain","FindOutNow","NA","Labour","15"
"2026-01-07","2026-01-08","Great Britain","FindOutNow","NA","Liberal Democrats","12"
"2026-01-07","2026-01-08","Great Britain","FindOutNow","NA","SNP","3"
"2026-01-07","2026-01-08","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2026-01-02","2026-01-05","Great Britain","More in Common","NA","Reform UK","31"
"2026-01-04","2026-01-05","Great Britain","YouGov","Times","Reform UK","26"
"2026-01-02","2026-01-05","Great Britain","More in Common","NA","Conservative","23"
"2026-01-02","2026-01-05","Great Britain","More in Common","NA","Labour","19"
"2026-01-04","2026-01-05","Great Britain","YouGov","Times","Conservative","19"
"2026-01-04","2026-01-05","Great Britain","YouGov","Times","Labour","17"
"2026-01-04","2026-01-05","Great Britain","YouGov","Times","Liberal Democrats","16"
"2026-01-04","2026-01-05","Great Britain","YouGov","Times","Green Party","15"
"2026-01-02","2026-01-05","Great Britain","More in Common","NA","Liberal Democrats","12"
"2026-01-02","2026-01-05","Great Britain","More in Common","NA","Green Party","10"
"2026-01-04","2026-01-05","Great Britain","YouGov","Times","SNP","4"
"2026-01-02","2026-01-05","Great Britain","More in Common","NA","SNP","2"
"2026-01-02","2026-01-05","Great Britain","More in Common","NA","Plaid Cymru","1"
"2026-01-04","2026-01-05","Great Britain","YouGov","Times","Plaid Cymru","1"
"2025-12-31","2025-12-31","Great Britain","FindOutNow","NA","Reform UK","31"
"2025-12-31","2025-12-31","Great Britain","FindOutNow","NA","Conservative","17"
"2025-12-31","2025-12-31","Great Britain","FindOutNow","NA","Green Party","17"
"2025-12-31","2025-12-31","Great Britain","FindOutNow","NA","Labour","15"
"2025-12-31","2025-12-31","Great Britain","FindOutNow","NA","Liberal Democrats","12"
"2025-12-31","2025-12-31","Great Britain","FindOutNow","NA","SNP","3"
"2025-12-31","2025-12-31","Great Britain","FindOutNow","NA","Plaid Cymru","2"
"2025-12-24","2025-12-24","Great Britain","FindOutNow","NA","Reform UK","30"
"2025-12-24","2025-12-24","Great Britain","FindOutNow","NA","Conservative","18"
"2025-12-24","2025-12-24","Great Britain","FindOutNow","NA","Green Party","17"
"2025-12-24","2025-12-24","Great Britain","FindOutNow","NA","Labour","14"
"2025-12-24","2025-12-24","Great Britain","FindOutNow","NA","Liberal Democrats","12"
"2025-12-24","2025-12-24","Great Britain","FindOutNow","NA","SNP","3"
"2025-12-24","2025-12-24","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2025-12-19","2025-12-23","Great Britain","More in Common","NA","Reform UK","28"
"2025-12-19","2025-12-23","Great Britain","More in Common","NA","Conservative","22"
"2025-12-19","2025-12-23","Great Britain","More in Common","NA","Labour","21"
"2025-12-19","2025-12-23","Great Britain","More in Common","NA","Liberal Democrats","13"
"2025-12-19","2025-12-23","Great Britain","More in Common","NA","Green Party","9"
"2025-12-19","2025-12-23","Great Britain","More in Common","NA","SNP","3"
"2025-12-19","2025-12-23","Great Britain","More in Common","NA","Plaid Cymru","1"
"2025-12-21","2025-12-22","Great Britain","YouGov","NA","Reform UK","25"
"2025-12-21","2025-12-22","Great Britain","YouGov","NA","Labour","20"
"2025-12-21","2025-12-22","Great Britain","YouGov","NA","Conservative","19"
"2025-12-21","2025-12-22","Great Britain","YouGov","NA","Green Party","15"
"2025-12-21","2025-12-22","Great Britain","YouGov","NA","Liberal Democrats","15"
"2025-12-21","2025-12-22","Great Britain","YouGov","NA","SNP","3"
"2025-12-21","2025-12-22","Great Britain","YouGov","NA","Plaid Cymru","1"
"2025-12-11","2025-12-19","Scotland","FindOutNow","National","SNP","32"
"2025-12-11","2025-12-19","Scotland","FindOutNow","National","Reform UK","24"
"2025-12-11","2025-12-19","Scotland","FindOutNow","National","Labour","13"
"2025-12-11","2025-12-19","Scotland","FindOutNow","National","Conservative","10"
"2025-12-11","2025-12-19","Scotland","FindOutNow","National","Green Party","10"
"2025-12-11","2025-12-19","Scotland","FindOutNow","National","Liberal Democrats","8"
"2025-12-16","2025-12-18","Great Britain","Deltapoll","Mirror","Reform UK","30"
"2025-12-16","2025-12-18","Great Britain","Deltapoll","Mirror","Labour","20"
"2025-12-16","2025-12-18","Great Britain","Deltapoll","Mirror","Conservative","19"
"2025-12-16","2025-12-18","Great Britain","Deltapoll","Mirror","Liberal Democrats","14"
"2025-12-16","2025-12-18","Great Britain","Deltapoll","Mirror","Green Party","10"
"2025-12-16","2025-12-18","Great Britain","Deltapoll","Mirror","SNP","3"
"2025-12-16","2025-12-18","Great Britain","Deltapoll","Mirror","Plaid Cymru","1"
"2025-12-17","2025-12-17","Great Britain","FindOutNow","NA","Reform UK","33"
"2025-12-17","2025-12-17","Great Britain","FindOutNow","NA","Conservative","18"
"2025-12-17","2025-12-17","Great Britain","FindOutNow","NA","Green Party","17"
"2025-12-17","2025-12-17","Great Britain","FindOutNow","NA","Labour","14"
"2025-12-17","2025-12-17","Great Britain","FindOutNow","NA","Liberal Democrats","11"
"2025-12-17","2025-12-17","Great Britain","FindOutNow","NA","SNP","2"
"2025-12-17","2025-12-17","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2025-11-27","2025-12-16","Great Britain","More in Common","Times","Reform UK","31"
"2025-12-12","2025-12-16","Great Britain","More in Common","NA","Reform UK","29"
"2025-11-27","2025-12-16","Great Britain","More in Common","Times","Conservative","21"
"2025-12-12","2025-12-16","Great Britain","More in Common","NA","Labour","21"
"2025-11-27","2025-12-16","Great Britain","More in Common","Times","Labour","20"
"2025-12-12","2025-12-16","Great Britain","More in Common","NA","Conservative","20"
"2025-11-27","2025-12-16","Great Britain","More in Common","Times","Green Party","12"
"2025-12-12","2025-12-16","Great Britain","More in Common","NA","Liberal Democrats","12"
"2025-11-27","2025-12-16","Great Britain","More in Common","Times","Liberal Democrats","11"
"2025-12-12","2025-12-16","Great Britain","More in Common","NA","Green Party","11"
"2025-11-27","2025-12-16","Great Britain","More in Common","Times","SNP","3"
"2025-12-12","2025-12-16","Great Britain","More in Common","NA","SNP","3"
"2025-11-27","2025-12-16","Great Britain","More in Common","Times","Plaid Cymru","1"
"2025-12-12","2025-12-16","Great Britain","More in Common","NA","Plaid Cymru","1"
"2025-12-14","2025-12-15","Great Britain","YouGov","NA","Reform UK","28"
"2025-12-12","2025-12-15","Great Britain","Verian","NA","Reform UK","27"
"2025-12-11","2025-12-15","Great Britain","Lord Ashcroft","Mail on Sunday","Reform UK","25"
"2025-12-11","2025-12-15","Great Britain","Lord Ashcroft","Mail on Sunday","Conservative","22"
"2025-12-12","2025-12-15","Great Britain","Verian","NA","Conservative","21"
"2025-12-11","2025-12-15","Great Britain","Lord Ashcroft","Mail on Sunday","Green Party","19"
"2025-12-11","2025-12-15","Great Britain","Lord Ashcroft","Mail on Sunday","Labour","18"
"2025-12-12","2025-12-15","Great Britain","Verian","NA","Labour","18"
"2025-12-14","2025-12-15","Great Britain","YouGov","NA","Labour","18"
"2025-12-14","2025-12-15","Great Britain","YouGov","NA","Conservative","17"
"2025-12-14","2025-12-15","Great Britain","YouGov","NA","Green Party","17"
"2025-12-12","2025-12-15","Great Britain","Verian","NA","Liberal Democrats","15"
"2025-12-14","2025-12-15","Great Britain","YouGov","NA","Liberal Democrats","14"
"2025-12-12","2025-12-15","Great Britain","Verian","NA","Green Party","13"
"2025-12-11","2025-12-15","Great Britain","Lord Ashcroft","Mail on Sunday","Liberal Democrats","10"
"2025-12-14","2025-12-15","Great Britain","YouGov","NA","SNP","4"
"2025-12-11","2025-12-15","Great Britain","Lord Ashcroft","Mail on Sunday","SNP","3"
"2025-12-12","2025-12-15","Great Britain","Verian","NA","SNP","3"
"2025-12-11","2025-12-15","Great Britain","Lord Ashcroft","Mail on Sunday","Plaid Cymru","1"
"2025-12-12","2025-12-15","Great Britain","Verian","NA","Plaid Cymru","1"
"2025-12-14","2025-12-15","Great Britain","YouGov","NA","Plaid Cymru","1"
"2025-12-10","2025-12-12","Great Britain","Opinium","Observer","Reform UK","31"
"2025-12-10","2025-12-12","Great Britain","Opinium","Observer","Labour","20"
"2025-12-10","2025-12-12","Great Britain","Opinium","Observer","Conservative","18"
"2025-12-10","2025-12-12","Great Britain","Opinium","Observer","Liberal Democrats","13"
"2025-12-10","2025-12-12","Great Britain","Opinium","Observer","Green Party","12"
"2025-12-10","2025-12-12","Great Britain","Opinium","Observer","SNP","3"
"2025-12-10","2025-12-12","Great Britain","Opinium","Observer","Plaid Cymru","1"
"2025-11-28","2025-12-10","Wales","YouGov","Cardiff University","Reform UK","30"
"2025-12-10","2025-12-10","Great Britain","FindOutNow","NA","Reform UK","30"
"2025-11-28","2025-12-10","Wales","YouGov","Cardiff University","Plaid Cymru","19"
"2025-12-10","2025-12-10","Great Britain","FindOutNow","NA","Conservative","18"
"2025-12-10","2025-12-10","Great Britain","FindOutNow","NA","Green Party","18"
"2025-11-28","2025-12-10","Wales","YouGov","Cardiff University","Labour","15"
"2025-11-28","2025-12-10","Wales","YouGov","Cardiff University","Green Party","14"
"2025-12-10","2025-12-10","Great Britain","FindOutNow","NA","Labour","14"
"2025-11-28","2025-12-10","Wales","YouGov","Cardiff University","Conservative","13"
"2025-12-10","2025-12-10","Great Britain","FindOutNow","NA","Liberal Democrats","12"
"2025-11-28","2025-12-10","Wales","YouGov","Cardiff University","Liberal Democrats","8"
"2025-12-10","2025-12-10","Great Britain","FindOutNow","NA","SNP","3"
"2025-12-10","2025-12-10","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2025-12-01","2025-12-08","Great Britain","FindOutNow","PLMR","Reform UK","31"
"2025-12-04","2025-12-08","Great Britain","More in Common","NA","Reform UK","30"
"2025-12-07","2025-12-08","Great Britain","YouGov","NA","Reform UK","27"
"2025-12-01","2025-12-08","Great Britain","FindOutNow","PLMR","Conservative","21"
"2025-12-04","2025-12-08","Great Britain","More in Common","NA","Conservative","21"
"2025-12-04","2025-12-08","Great Britain","More in Common","NA","Labour","20"
"2025-12-07","2025-12-08","Great Britain","YouGov","NA","Labour","19"
"2025-12-07","2025-12-08","Great Britain","YouGov","NA","Conservative","18"
"2025-12-01","2025-12-08","Great Britain","FindOutNow","PLMR","Labour","17"
"2025-12-07","2025-12-08","Great Britain","YouGov","NA","Green Party","15"
"2025-12-04","2025-12-08","Great Britain","More in Common","NA","Liberal Democrats","14"
"2025-12-07","2025-12-08","Great Britain","YouGov","NA","Liberal Democrats","14"
"2025-12-01","2025-12-08","Great Britain","FindOutNow","PLMR","Green Party","12"
"2025-12-01","2025-12-08","Great Britain","FindOutNow","PLMR","Liberal Democrats","11"
"2025-12-04","2025-12-08","Great Britain","More in Common","NA","Green Party","10"
"2025-12-01","2025-12-08","Great Britain","FindOutNow","PLMR","SNP","3"
"2025-12-04","2025-12-08","Great Britain","More in Common","NA","SNP","3"
"2025-12-07","2025-12-08","Great Britain","YouGov","NA","SNP","3"
"2025-12-07","2025-12-08","Great Britain","YouGov","NA","Plaid Cymru","2"
"2025-12-01","2025-12-08","Great Britain","FindOutNow","PLMR","Plaid Cymru","1"
"2025-12-04","2025-12-08","Great Britain","More in Common","NA","Plaid Cymru","0"
"2025-11-27","2025-12-03","Scotland","Ipsos-MORI","STV News","SNP","33"
"2025-12-03","2025-12-03","Great Britain","FindOutNow","NA","Reform UK","31"
"2025-11-27","2025-12-03","Scotland","Ipsos-MORI","STV News","Reform UK","20"
"2025-12-03","2025-12-03","Great Britain","FindOutNow","NA","Conservative","20"
"2025-12-03","2025-12-03","Great Britain","FindOutNow","NA","Green Party","18"
"2025-11-27","2025-12-03","Scotland","Ipsos-MORI","STV News","Labour","17"
"2025-12-03","2025-12-03","Great Britain","FindOutNow","NA","Labour","14"
"2025-11-27","2025-12-03","Scotland","Ipsos-MORI","STV News","Conservative","11"
"2025-11-27","2025-12-03","Scotland","Ipsos-MORI","STV News","Green Party","11"
"2025-12-03","2025-12-03","Great Britain","FindOutNow","NA","Liberal Democrats","11"
"2025-11-27","2025-12-03","Scotland","Ipsos-MORI","STV News","Liberal Democrats","8"
"2025-12-03","2025-12-03","Great Britain","FindOutNow","NA","SNP","3"
"2025-12-03","2025-12-03","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2025-11-28","2025-12-01","Great Britain","More in Common","NA","Reform UK","30"
"2025-11-29","2025-12-01","Great Britain","JL Partners","Sun","Reform UK","29"
"2025-11-30","2025-12-01","Great Britain","YouGov","NA","Reform UK","26"
"2025-11-29","2025-12-01","Great Britain","JL Partners","Sun","Labour","22"
"2025-11-28","2025-12-01","Great Britain","More in Common","NA","Conservative","21"
"2025-11-28","2025-12-01","Great Britain","More in Common","NA","Labour","21"
"2025-11-29","2025-12-01","Great Britain","JL Partners","Sun","Conservative","20"
"2025-11-30","2025-12-01","Great Britain","YouGov","NA","Conservative","19"
"2025-11-30","2025-12-01","Great Britain","YouGov","NA","Labour","19"
"2025-11-30","2025-12-01","Great Britain","YouGov","NA","Green Party","16"
"2025-11-30","2025-12-01","Great Britain","YouGov","NA","Liberal Democrats","14"
"2025-11-28","2025-12-01","Great Britain","More in Common","NA","Liberal Democrats","13"
"2025-11-28","2025-12-01","Great Britain","More in Common","NA","Green Party","11"
"2025-11-29","2025-12-01","Great Britain","JL Partners","Sun","Liberal Democrats","11"
"2025-11-29","2025-12-01","Great Britain","JL Partners","Sun","Green Party","10"
"2025-11-29","2025-12-01","Great Britain","JL Partners","Sun","SNP","3"
"2025-11-30","2025-12-01","Great Britain","YouGov","NA","SNP","3"
"2025-11-28","2025-12-01","Great Britain","More in Common","NA","SNP","2"
"2025-11-28","2025-12-01","Great Britain","More in Common","NA","Plaid Cymru","1"
"2025-11-29","2025-12-01","Great Britain","JL Partners","Sun","Plaid Cymru","1"
"2025-11-30","2025-12-01","Great Britain","YouGov","NA","Plaid Cymru","1"
"2025-11-26","2025-11-28","Great Britain","Opinium","Observer","Reform UK","31"
"2025-11-26","2025-11-28","Great Britain","Focaldata","NA","Reform UK","29"
"2025-11-26","2025-11-28","Great Britain","Opinium","Observer","Labour","21"
"2025-11-26","2025-11-28","Great Britain","Focaldata","NA","Labour","20"
"2025-11-26","2025-11-28","Great Britain","Focaldata","NA","Conservative","18"
"2025-11-26","2025-11-28","Great Britain","Opinium","Observer","Conservative","17"
"2025-11-26","2025-11-28","Great Britain","Focaldata","NA","Liberal Democrats","13"
"2025-11-26","2025-11-28","Great Britain","Opinium","Observer","Green Party","13"
"2025-11-26","2025-11-28","Great Britain","Focaldata","NA","Green Party","12"
"2025-11-26","2025-11-28","Great Britain","Opinium","Observer","Liberal Democrats","11"
"2025-11-26","2025-11-28","Great Britain","Focaldata","NA","SNP","3"
"2025-11-26","2025-11-28","Great Britain","Opinium","Observer","SNP","3"
"2025-11-26","2025-11-28","Great Britain","Focaldata","NA","Plaid Cymru","1"
"2025-11-26","2025-11-28","Great Britain","Opinium","Observer","Plaid Cymru","1"
"2025-11-26","2025-11-27","Great Britain","BMG","i","Reform UK","30"
"2025-11-26","2025-11-27","Great Britain","BMG","i","Labour","22"
"2025-11-26","2025-11-27","Great Britain","BMG","i","Conservative","20"
"2025-11-26","2025-11-27","Great Britain","BMG","i","Green Party","12"
"2025-11-26","2025-11-27","Great Britain","BMG","i","Liberal Democrats","12"
"2025-11-26","2025-11-27","Great Britain","BMG","i","SNP","2"
"2025-11-26","2025-11-27","Great Britain","BMG","i","Plaid Cymru","1"
"2025-11-26","2025-11-26","Great Britain","FindOutNow","NA","Reform UK","31"
"2025-11-26","2025-11-26","Great Britain","FindOutNow","NA","Conservative","18"
"2025-11-26","2025-11-26","Great Britain","FindOutNow","NA","Green Party","17"
"2025-11-26","2025-11-26","Great Britain","FindOutNow","NA","Labour","15"
"2025-11-26","2025-11-26","Great Britain","FindOutNow","NA","Liberal Democrats","12"
"2025-11-26","2025-11-26","Great Britain","FindOutNow","NA","SNP","3"
"2025-11-26","2025-11-26","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2025-11-22","2025-11-24","Great Britain","More in Common","NA","Reform UK","30"
"2025-11-23","2025-11-24","Great Britain","YouGov","Times","Reform UK","25"
"2025-11-22","2025-11-24","Great Britain","More in Common","NA","Labour","21"
"2025-11-22","2025-11-24","Great Britain","More in Common","NA","Conservative","19"
"2025-11-23","2025-11-24","Great Britain","YouGov","Times","Labour","19"
"2025-11-23","2025-11-24","Great Britain","YouGov","Times","Conservative","18"
"2025-11-23","2025-11-24","Great Britain","YouGov","Times","Green Party","16"
"2025-11-23","2025-11-24","Great Britain","YouGov","Times","Liberal Democrats","15"
"2025-11-22","2025-11-24","Great Britain","More in Common","NA","Liberal Democrats","14"
"2025-11-22","2025-11-24","Great Britain","More in Common","NA","Green Party","10"
"2025-11-22","2025-11-24","Great Britain","More in Common","NA","SNP","3"
"2025-11-23","2025-11-24","Great Britain","YouGov","Times","SNP","3"
"2025-11-22","2025-11-24","Great Britain","More in Common","NA","Plaid Cymru","1"
"2025-11-23","2025-11-24","Great Britain","YouGov","Times","Plaid Cymru","1"
"2025-11-19","2025-11-21","Great Britain","Opinium","Observer","Reform UK","32"
"2025-11-18","2025-11-21","Great Britain","Focaldata","NA","Reform UK","28"
"2025-11-18","2025-11-21","Great Britain","Focaldata","NA","Conservative","20"
"2025-11-18","2025-11-21","Great Britain","Focaldata","NA","Labour","20"
"2025-11-19","2025-11-21","Great Britain","Opinium","Observer","Labour","19"
"2025-11-19","2025-11-21","Great Britain","Opinium","Observer","Conservative","17"
"2025-11-18","2025-11-21","Great Britain","Focaldata","NA","Liberal Democrats","13"
"2025-11-19","2025-11-21","Great Britain","Opinium","Observer","Liberal Democrats","13"
"2025-11-19","2025-11-21","Great Britain","Opinium","Observer","Green Party","12"
"2025-11-18","2025-11-21","Great Britain","Focaldata","NA","Green Party","10"
"2025-11-18","2025-11-21","Great Britain","Focaldata","NA","SNP","3"
"2025-11-19","2025-11-21","Great Britain","Opinium","Observer","SNP","3"
"2025-11-18","2025-11-21","Great Britain","Focaldata","NA","Plaid Cymru","1"
"2025-11-19","2025-11-21","Great Britain","Opinium","Observer","Plaid Cymru","1"
"2025-11-16","2025-11-20","Great Britain","Survation","NA","Reform UK","29"
"2025-11-16","2025-11-20","Great Britain","Survation","NA","Labour","22"
"2025-11-16","2025-11-20","Great Britain","Survation","NA","Conservative","18"
"2025-11-16","2025-11-20","Great Britain","Survation","NA","Liberal Democrats","12"
"2025-11-16","2025-11-20","Great Britain","Survation","NA","Green Party","11"
"2025-11-16","2025-11-20","Great Britain","Survation","NA","SNP","2"
"2025-11-16","2025-11-20","Great Britain","Survation","NA","Plaid Cymru","1"
"2025-11-19","2025-11-19","Great Britain","FindOutNow","NA","Reform UK","32"
"2025-11-19","2025-11-19","Great Britain","FindOutNow","NA","Green Party","18"
"2025-11-19","2025-11-19","Great Britain","FindOutNow","NA","Conservative","17"
"2025-11-19","2025-11-19","Great Britain","FindOutNow","NA","Labour","16"
"2025-11-19","2025-11-19","Great Britain","FindOutNow","NA","Liberal Democrats","11"
"2025-11-19","2025-11-19","Great Britain","FindOutNow","NA","SNP","2"
"2025-11-19","2025-11-19","Great Britain","FindOutNow","NA","Plaid Cymru","1"
"2025-11-14","2025-11-17","Great Britain","More in Common","NA","Reform UK","30"
"2025-11-13","2025-11-17","Great Britain","Lord Ashcroft","NA","Reform UK","27"
"2025-11-16","2025-11-17","Great Britain","YouGov","Times","Reform UK","27"
"2025-11-13","2025-11-17","Great Britain","Lord Ashcroft","NA","Conservative","20"
"2025-11-14","2025-11-17","Great Britain","More in Common","NA","Conservative","20"
"2025-11-14","2025-11-17","Great Britain","More in Common","NA","Labour","20"
"2025-11-16","2025-11-17","Great Britain","YouGov","Times","Labour","19"
"2025-11-13","2025-11-17","Great Britain","Lord Ashcroft","NA","Green Party","18"
"2025-11-13","2025-11-17","Great Britain","Lord Ashcroft","NA","Labour","18"
"2025-11-16","2025-11-17","Great Britain","YouGov","Times","Conservative","17"
"2025-11-16","2025-11-17","Great Britain","YouGov","Times","Green Party","17"
"2025-11-14","2025-11-17","Great Britain","More in Common","NA","Liberal Democrats","14"
"2025-11-16","2025-11-17","Great Britain","YouGov","Times","Liberal Democrats","13"
"2025-11-13","2025-11-17","Great Britain","Lord Ashcroft","NA","Liberal Democrats","11"
"2025-11-14","2025-11-17","Great Britain","More in Common","NA","Green Party","11"
"2025-11-14","2025-11-17","Great Britain","More in Common","NA","SNP","3"
"2025-11-16","2025-11-17","Great Britain","YouGov","Times","SNP","3"
"2025-11-13","2025-11-17","Great Britain","Lord Ashcroft","NA","Plaid Cymru","2"
"2025-11-13","2025-11-17","Great Britain","Lord Ashcroft","NA","SNP","2"
"2025-11-16","2025-11-17","Great Britain","YouGov","Times","Plaid Cymru","2"
"2025-11-14","2025-11-17","Great Britain","More in Common","NA","Plaid Cymru","1"
"2025-11-12","2025-11-12","Great Britain","FindOutNow","NA","Reform UK","33"
"2025-11-12","2025-11-12","Great Britain","FindOutNow","NA","Green Party","17"
"2025-11-12","2025-11-12","Great Britain","FindOutNow","NA","Conservative","16"
"2025-11-12","2025-11-12","Great Britain","FindOutNow","NA","Labour","15"
"2025-11-12","2025-11-12","Great Britain","FindOutNow","NA","Liberal Democrats","11"
"2025-11-12","2025-11-12","Great Britain","FindOutNow","NA","SNP","3"
"2025-11-12","2025-11-12","Great Britain","FindOutNow","NA","Plaid Cymru","2"
"2025-11-07","2025-11-10","Great Britain","More in Common","NA","Reform UK","31"
"2025-11-09","2025-11-10","Great Britain","YouGov","Times","Reform UK","26"
"2025-11-07","2025-11-10","Great Britain","More in Common","NA","Labour","20"
"2025-11-07","2025-11-10","Great Britain","More in Common","NA","Conservative","19"
"2025-11-09","2025-11-10","Great Britain","YouGov","Times","Labour","19"
"2025-11-09","2025-11-10","Great Britain","YouGov","Times","Conservative","18"
"2025-11-09","2025-11-10","Great Britain","YouGov","Times","Green Party","15"
"2025-11-07","2025-11-10","Great Britain","More in Common","NA","Liberal Democrats","14"
"2025-11-09","2025-11-10","Great Britain","YouGov","Times","Liberal Democrats","14"
"2025-11-07","2025-11-10","Great Britain","More in Common","NA","Green Party","12"
"2025-11-09","2025-11-10","Great Britain","YouGov","Times","SNP","3"
"2025-11-07","2025-11-10","Great Britain","More in Common","NA","SNP","2"
"2025-11-09","2025-11-10","Great Britain","YouGov","Times","Plaid Cymru","2"
"2025-11-07","2025-11-10","Great Britain","More in Common","NA","Plaid Cymru","1"
"2025-11-05","2025-11-07","Great Britain","Opinium","Observer","Reform UK","33"
"2025-11-05","2025-11-07","Great Britain","Opinium","Observer","Labour","20"
"2025-11-05","2025-11-07","Great Britain","Opinium","Observer","Conservative","17"
"2025-11-05","2025-11-07","Great Britain","Opinium","Observer","Liberal Democrats","12"
"2025-11-05","2025-11-07","Great Britain","Opinium","Observer","Green Party","11"
"2025-11-05","2025-11-07","Great Britain","Opinium","Observer","SNP","3"
"2025-11-05","2025-11-07","Great Britain","Opinium","Observer","Plaid Cymru","1"
"2025-11-05","2025-11-06","Great Britain","FindOutNow","NA","Reform UK","33"
"2025-11-05","2025-11-06","Great Britain","FindOutNow","NA","Green Party","18"
"2025-11-05","2025-11-06","Great Britain","FindOutNow","NA","Conservative","16"
"2025-11-05","2025-11-06","Great Britain","FindOutNow","NA","Labour","15"
"2025-11-05","2025-11-06","Great Britain","FindOutNow","NA","Liberal Democrats","11"
